page	ligne	col	lu	corrige	vedette lue	vedette retenue
330	35	1	m	u	kmrioza	kurioza
330	48	4	o	E	kurso	kursE
332	5	1	u	n	kutino	kntino
332	8	1	u	o	kupro	kopro
333	53	3	o	c	laco	lacc
334	15	3	c	a	ladc	lada
334	36	3	c	o	lakcnika	lakonika
335	32	3	p	o	lampo	lamoo
335	52	3	o	c	lano	lanc
336	40	3	a	s	lanaar	lansar
337	28	6	o	e	laringo	laringe
338	6	1	e	a	leskaro	laskaro
339	7	4	o	c	lauro	laurc
340	35	1	g	e	lgsiono	legiono
340	35	2	s	g	lgsiono	legiono
340	45	5	o	c	legumo	legumc
341	9	2	s	m	leso	lemc
341	9	3	o	c	leso	lemc
341	50	1	a	e	laopardo	leopardo
343	8	8	a	e	lexikografio	lexikogrefio
344	2	4	a	s	libraco	librsco
344	5	3	o	c	lico	licc
344	8	4	o	c	liceo	licec
344	34	4	r	I	ligar	ligaI
345	19	3	o	a	lilooo	lilaoo
345	33	1	L	i	lLmako	limako
346	7	4	a	s	limfatismo	limfstismo
346	14	3	o	n	limono	limnno
346	20	2	s	m	lispida	limpida
346	33	3	o	e	linoc	linec
347	3	5	o	c	linguo	linguc
347	22	2	h	n	lihtElo	lintElo
348	3	3	t	p	listo	lispo
348	14	0	l	i	litanio	iitanio
348	19	0	l	i	litargiro	iitargiro
348	24	0	l	i	litero	iitero
348	31	4	o	c	litio	litic
349	20	2	k	v	likor	livar
349	20	3	o	a	likor	livar
351	27	1	o	p	longa	lpnga
351	50	1	o	c	lotlo	lctlo
353	24	1	u	E	luuo	lEuo
355	31	0	f	"	fmadapolam	"madapolam
355	40	0	f	"	fmadras	"madras
356	15	2	s	g	gmsrmto	gmgrmto
356	20	1	a	m	gagnetizar	gmsnetizar
356	20	2	g	s	gagnetizar	gmsnetizar
356	23	0	z	o	zagnezio	oagnezio
356	27	1	m	a	smgnolio	sagnolio
356	42	3	a	z	saiao	saizo
357	33	4	a	s	makiavelalo	makisvelalo
358	22	1	a	m	salakito	smlakito
358	27	1	a	m	saldicensar	smldicensar
358	46	1	a	m	salgre	smlgre
358	53	0	s	m	salico	malico
359	23	3	o	c	mamo	mamc
360	18	1	e	a	sendolino	sandolino
360	23	1	m	a	smndoro	sandoro
360	40	1	m	a	smnekino	sanekino
360	52	1	a	.	mango	m.ngo
361	13	4	o	c	manio	manic
362	0	1	m	a	smnometro	sanometro
362	3	1	m	a	smnoto	sanoto
362	22	1	m	a	smntear	santear
362	25	1	m	a	smntelo	santelo
362	38	0	m	s	manuo	sanuc
